Date,Price,Open,High,Low,Vol.,Change %
"Apr 24, 2009",1694.29,1666.43,1702.87,1657.49,826.52M,2.55%
"Apr 23, 2009",1652.21,1651.47,1654.85,1625.88,794.59M,0.37%
"Apr 22, 2009",1646.12,1630.14,1679.82,1624.73,831.06M,0.14%
"Apr 21, 2009",1643.85,1599.03,1643.85,1598.93,776.00M,2.22%
"Apr 20, 2009",1608.21,1641.35,1643.32,1606.86,913.43M,-3.88%
"Apr 17, 2009",1673.07,1665.6,1682.24,1653.84,800.51M,0.16%
"Apr 16, 2009",1670.44,1645.52,1676.17,1628.08,737.57M,2.68%
"Apr 15, 2009",1626.8,1613.56,1627.72,1599.11,657.38M,0.07%
"Apr 14, 2009",1625.72,1637.5,1651.28,1618.04,728.18M,-1.67%
"Apr 13, 2009",1653.31,1641.61,1660.83,1630.54,580.02M,0.05%
"Apr 09, 2009",1652.54,1618.83,1652.54,1616.25,701.49M,3.89%
"Apr 08, 2009",1590.66,1576.93,1595.97,1567.22,577.97M,1.86%
"Apr 07, 2009",1561.61,1585.58,1588,1559.46,580.99M,-2.81%
"Apr 06, 2009",1606.71,1602.24,1607.6,1580.65,650.35M,-0.93%
"Apr 03, 2009",1621.87,1609.05,1621.87,1593.05,669.25M,1.20%
"Apr 02, 2009",1602.63,1579.97,1623.34,1576.82,875.36M,3.29%
"Apr 01, 2009",1551.6,1504.87,1553.03,1498.54,729.15M,1.51%
"Mar 31, 2009",1528.59,1518.7,1554.47,1518.01,712.61M,1.78%
"Mar 30, 2009",1501.8,1516.79,1517.06,1484.98,667.83M,-2.81%
"Mar 27, 2009",1545.2,1564.12,1569.21,1543.43,642.82M,-2.63%
"Mar 26, 2009",1587,1549.4,1587,1545.21,867.63M,3.80%
"Mar 25, 2009",1528.95,1527.59,1554.25,1487.94,787.64M,0.82%
"Mar 24, 2009",1516.52,1535.68,1546.21,1515.63,626.35M,-2.52%
"Mar 23, 2009",1555.77,1491.26,1555.77,1482.15,758.81M,6.76%
"Mar 20, 2009",1457.27,1488.15,1501.78,1448.78,1.03B,-1.77%
"Mar 19, 2009",1483.48,1509.06,1509.06,1475.49,758.05M,-0.52%
"Mar 18, 2009",1491.22,1454.44,1507.4,1448.67,897.80M,1.99%
"Mar 17, 2009",1462.11,1409.67,1462.11,1405.32,707.64M,4.14%
"Mar 16, 2009",1404.02,1445.27,1445.27,1402.48,700.55M,-1.92%
"Mar 13, 2009",1431.5,1427.03,1433.98,1408.26,712.79M,0.38%
